# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20181228B 2.753680 8.847360 568.581121 528.509382 535.069102
FRB20181228C 1.025209 1.966080 510.543242 464.754473 471.554314
FRB20181229A 4.045338 3.932160 955.446487 912.447082 923.246341
FRB20181229B 6.045074 20.643842 389.028776 359.558654 361.243828
FRB20181230A 12.289611 33.423359 769.804538 700.557209 695.174633
FRB20181230B 8.772511 5.898240 1136.884860 1048.140700 1025.818560
FRB20181230C 2.126256 1.966080 1037.131474 1000.248347 1008.023100
FRB20181230D 1.559526 1.966080 223.921813 183.265585 190.942024
FRB20181230E 6.565660 10.813440 1041.436237 987.331318 990.571887
FRB20181231A 2.367308 1.966080 1376.622314 1333.624724 1342.310601
FRB20181231B 2.275274 1.966080 197.401945 148.647117 154.857821
FRB20181231C 1.461507 1.966080 556.110408 520.471935 528.294124
FRB20190101A 14.477033 44.236798 854.846823 830.717334 836.219516
FRB20190101B 1.967803 2.949120 1323.902956 1091.165846 1162.514414
FRB20190102A 5.098681 5.898240 699.072696 655.470959 664.033134
FRB20190102B 4.766335 2.949120 367.082428 326.003990 335.066199
FRB20190103B 14.657018 27.525116 540.712724 355.513004 251.963940
FRB20190103C 13.532786 6.881281 1348.922853 1194.062587 1127.791861
FRB20190103D 1.108791 3.932160 1913.535021 1880.154087 1887.573476
FRB20190103E 2.003960 5.898240 736.048827 690.338817 698.507275
FRB20190104A 3.343768 1.966080 549.402931 397.597214 346.271274
FRB20190104A 3.343768 1.966080 549.402931 397.597214 346.271274
FRB20190104B 12.277074 6.881279 530.181413 479.775398 492.531988
FRB20190105A 3.226668 8.847361 383.717429 337.463292 343.202108
FRB20190106A 0.897355 8.847361 339.910273 251.049705 249.034495
FRB20190106B 3.890283 1.966080 316.527411 161.315090 170.754456
FRB20190107A 8.050953 47.190000 849.190000 809.300000 817.300000
FRB20190107B 3.028703 1.966080 166.088564 94.726216 87.154608
FRB20190109A 4.546199 3.932160 324.469313 177.552328 120.811168
FRB20190109A 4.546199 3.932160 324.469313 177.552328 120.811168
FRB20190109B 2.461815 6.881279 175.291312 106.628685 121.445169
FRB20190110A 4.279046 1.966080 472.794227 285.893979 208.678276
FRB20190110B 2.302198 7.864319 486.102664 440.539832 449.183100
FRB20190111A 16.653452 3.932159 172.099847 150.585101 150.601216
FRB20190111A 16.653452 3.932159 172.099847 150.585101 150.601216
FRB20190111A 16.653452 3.932159 172.099847 150.585101 150.601216
FRB20190111B 6.832003 1.966080 1336.888185 1271.440229 1285.665624
FRB20190112A 15.412281 9.830401 425.646756 383.620592 390.041829
FRB20190114A 2.031771 6.881281 887.532600 849.475173 857.932606
FRB20190115A 1.249113 1.966080 1021.592143 835.664433 783.374612
FRB20190115B 4.491309 3.932160 748.249532 684.321221 681.965934
FRB20190116E 1.310104 1.966080 1490.929178 1362.290230 1350.545436
FRB20190116D 6.926087 9.830400 1163.945552 1085.039729 1071.315242
FRB20190116C 65.809254 2.949120 629.185607 588.458466 594.869306
FRB20190116F 1.603140 1.966080 316.649371 269.730551 275.209383
FRB20190117C 0.832004 1.966080 865.953166 812.624127 816.155340
FRB20190117D 3.500000 3.932160 1177.980142 1155.299212 1157.449417
FRB20190118B 4.096158 19.660800 669.379901 619.110782 625.613385
FRB20190118A 19.808847 1.966080 225.128503 171.543406 182.296230
FRB20190121A 10.792930 7.864320 425.315043 335.698683 314.130587
FRB20190122B 1.900776 3.932160 469.373460 414.854184 423.280455
FRB20190122C 47.424023 14.745600 689.799101 664.922023 669.557573
FRB20190122C 47.424023 14.745600 689.799101 664.922023 669.557573
FRB20190122A 5.704297 42.270718 1233.502487 1168.899672 1177.607224
FRB20190124A 12.931637 28.508161 1276.314941 1100.321170 1051.741955
FRB20190124B 10.050728 12.779520 441.590240 419.977679 420.430822
FRB20190124C 14.925171 13.762560 303.681510 282.196950 282.197431
FRB20190124C 14.925171 13.762560 303.681510 282.196950 282.197431
FRB20190124D 1.834925 3.932160 340.197175 294.269667 300.096332
FRB20190124E 7.229839 18.677759 617.646092 229.437592 317.577398
FRB20190124F 7.620893 3.932160 254.782480 217.101002 225.819077
FRB20190125A 1.949094 121.896963 563.800969 503.356562 505.341806
FRB20190127B 15.934691 62.914558 663.588267 614.565731 619.929293
FRB20190128A 2.216278 4.915200 695.872351 652.242590 661.185575
FRB20190128B 1.609659 1.966080 248.250040 191.093754 191.013954
FRB20190128C 3.902818 13.762560 309.628464 238.385351 230.261138
FRB20190128D 4.923327 3.932160 430.258958 195.605968 220.694487
FRB20190129A 4.108375 8.847360 485.964631 433.972064 438.735931
FRB20190130A 4.520224 14.745601 1367.144122 1329.681402 1339.004779
FRB20190130B 3.836189 2.949120 988.696374 959.104250 967.649616
FRB20190131E 2.492537 1.966080 279.817917 236.177293 242.688377
FRB20190131D 6.800262 0.983040 642.149255 574.217366 568.776075
FRB20190131D 6.800262 0.983040 642.149255 574.217366 568.776075
FRB20190131C 2.704483 1.966080 507.707327 474.843654 484.641359
FRB20190131B 3.269876 1.966080 1805.579283 1769.930297 1777.919993
FRB20190201B 2.258224 2.949120 749.112897 694.959264 697.795995
FRB20190202A 103.580212 1.966080 307.437088 266.189841 273.711349
FRB20190203B 0.948820 1.966080 582.294634 536.296383 543.972581
FRB20190203A 5.216348 4.915199 420.532278 376.238958 383.731446
FRB20190203C 4.597165 2.949120 370.307390 340.588841 348.126986
